no,pembelian,kategori,tanggal,jumlah,total,tahun,bulan,nama_bulan,hari,hari_dalam_minggu,jam,is_weekend,harga_per_tiket,volume_penjualan,cluster
2080,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 15:20:00,4,120000,2025,1,January,29,Wednesday,15,0,30000.0,Rendah,1
2081,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-29 15:02:00,2,50000,2025,1,January,29,Wednesday,15,0,25000.0,Sangat Rendah,1
2082,TIKET PELAJAR & MAHASISWA,Pelajar,2025-01-29 14:57:00,2,20000,2025,1,January,29,Wednesday,14,0,10000.0,Sangat Rendah,1
2083,TIKET WISATAWAN UMUM,Umum,2025-01-29 14:57:00,5,75000,2025,1,January,29,Wednesday,14,0,15000.0,Rendah,1
2084,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-29 14:48:00,1,25000,2025,1,January,29,Wednesday,14,0,25000.0,Sangat Rendah,1
2085,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-29 14:39:00,3,75000,2025,1,January,29,Wednesday,14,0,25000.0,Rendah,1
2086,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 14:36:00,3,90000,2025,1,January,29,Wednesday,14,0,30000.0,Rendah,1
2087,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-29 13:54:00,2,50000,2025,1,January,29,Wednesday,13,0,25000.0,Sangat Rendah,1
2088,TIKET WISATAWAN UMUM,Umum,2025-01-29 13:31:00,2,30000,2025,1,January,29,Wednesday,13,0,15000.0,Sangat Rendah,1
2089,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-29 13:30:00,4,100000,2025,1,January,29,Wednesday,13,0,25000.0,Rendah,1
2090,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 13:29:00,2,40000,2025,1,January,29,Wednesday,13,0,20000.0,Sangat Rendah,1
2091,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 13:28:00,5,150000,2025,1,January,29,Wednesday,13,0,30000.0,Rendah,1
2092,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 13:27:00,2,40000,2025,1,January,29,Wednesday,13,0,20000.0,Sangat Rendah,1
2093,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-29 13:15:00,3,75000,2025,1,January,29,Wednesday,13,0,25000.0,Rendah,1
2094,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-29 13:05:00,5,125000,2025,1,January,29,Wednesday,13,0,25000.0,Rendah,1
2095,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 13:01:00,2,60000,2025,1,January,29,Wednesday,13,0,30000.0,Sangat Rendah,1
2096,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 12:58:00,2,40000,2025,1,January,29,Wednesday,12,0,20000.0,Sangat Rendah,1
2097,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 12:46:00,2,40000,2025,1,January,29,Wednesday,12,0,20000.0,Sangat Rendah,1
2098,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 12:37:00,2,60000,2025,1,January,29,Wednesday,12,0,30000.0,Sangat Rendah,1
2099,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 12:36:00,2,60000,2025,1,January,29,Wednesday,12,0,30000.0,Sangat Rendah,1
2100,TIKET MASUK DALEM AGUNG PAKUNGWATI,Umum,2025-01-29 12:34:00,1,10000,2025,1,January,29,Wednesday,12,0,10000.0,Sangat Rendah,1
2101,TIKET PELAJAR & MAHASISWA,Pelajar,2025-01-29 12:34:00,1,10000,2025,1,January,29,Wednesday,12,0,10000.0,Sangat Rendah,1
2102,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 12:33:00,2,60000,2025,1,January,29,Wednesday,12,0,30000.0,Sangat Rendah,1
2103,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 12:30:00,2,40000,2025,1,January,29,Wednesday,12,0,20000.0,Sangat Rendah,1
2104,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 12:19:00,3,90000,2025,1,January,29,Wednesday,12,0,30000.0,Rendah,1
2105,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-29 12:18:00,2,50000,2025,1,January,29,Wednesday,12,0,25000.0,Sangat Rendah,1
2106,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 12:14:00,3,90000,2025,1,January,29,Wednesday,12,0,30000.0,Rendah,1
2107,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-29 12:11:00,4,100000,2025,1,January,29,Wednesday,12,0,25000.0,Rendah,1
2108,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 12:07:00,9,180000,2025,1,January,29,Wednesday,12,0,20000.0,Sedang,1
2109,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 12:05:00,6,120000,2025,1,January,29,Wednesday,12,0,20000.0,Sedang,1
2110,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-29 12:00:00,4,100000,2025,1,January,29,Wednesday,12,0,25000.0,Rendah,1
2111,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 12:00:00,7,140000,2025,1,January,29,Wednesday,12,0,20000.0,Sedang,1
2112,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 11:50:00,4,120000,2025,1,January,29,Wednesday,11,0,30000.0,Rendah,1
2113,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 11:43:00,3,90000,2025,1,January,29,Wednesday,11,0,30000.0,Rendah,1
2114,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 11:42:00,2,40000,2025,1,January,29,Wednesday,11,0,20000.0,Sangat Rendah,1
2115,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-29 11:34:00,3,75000,2025,1,January,29,Wednesday,11,0,25000.0,Rendah,1
2116,TIKET WISATAWAN UMUM,Umum,2025-01-29 12:32:00,7,105000,2025,1,January,29,Wednesday,12,0,15000.0,Sedang,1
2117,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 12:30:00,2,40000,2025,1,January,29,Wednesday,12,0,20000.0,Sangat Rendah,1
2118,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 12:30:00,10,200000,2025,1,January,29,Wednesday,12,0,20000.0,Sedang,1
2119,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-29 11:26:00,4,100000,2025,1,January,29,Wednesday,11,0,25000.0,Rendah,1
2120,TIKET WISATAWAN UMUM,Umum,2025-01-29 11:24:00,5,75000,2025,1,January,29,Wednesday,11,0,15000.0,Rendah,1
2121,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 11:09:00,2,60000,2025,1,January,29,Wednesday,11,0,30000.0,Sangat Rendah,1
2122,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 11:07:00,2,60000,2025,1,January,29,Wednesday,11,0,30000.0,Sangat Rendah,1
2123,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 11:06:00,5,100000,2025,1,January,29,Wednesday,11,0,20000.0,Rendah,1
2124,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-29 10:58:00,3,75000,2025,1,January,29,Wednesday,10,0,25000.0,Rendah,1
2125,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 10:56:00,4,80000,2025,1,January,29,Wednesday,10,0,20000.0,Rendah,1
2126,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-29 11:52:00,7,175000,2025,1,January,29,Wednesday,11,0,25000.0,Sedang,1
2127,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-29 10:51:00,4,100000,2025,1,January,29,Wednesday,10,0,25000.0,Rendah,1
2128,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 10:50:00,6,120000,2025,1,January,29,Wednesday,10,0,20000.0,Sedang,1
2129,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 10:43:00,2,40000,2025,1,January,29,Wednesday,10,0,20000.0,Sangat Rendah,1
2130,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-29 10:43:00,6,150000,2025,1,January,29,Wednesday,10,0,25000.0,Sedang,1
2131,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-29 10:40:00,3,75000,2025,1,January,29,Wednesday,10,0,25000.0,Rendah,1
2132,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 10:21:00,4,80000,2025,1,January,29,Wednesday,10,0,20000.0,Rendah,1
2133,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 10:19:00,15,450000,2025,1,January,29,Wednesday,10,0,30000.0,Tinggi,1
2134,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 10:13:00,2,40000,2025,1,January,29,Wednesday,10,0,20000.0,Sangat Rendah,1
2135,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 10:11:00,2,60000,2025,1,January,29,Wednesday,10,0,30000.0,Sangat Rendah,1
2136,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-29 10:07:00,4,100000,2025,1,January,29,Wednesday,10,0,25000.0,Rendah,1
2137,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 10:01:00,4,80000,2025,1,January,29,Wednesday,10,0,20000.0,Rendah,1
2138,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-29 09:56:00,4,100000,2025,1,January,29,Wednesday,9,0,25000.0,Rendah,1
2139,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 09:56:00,4,80000,2025,1,January,29,Wednesday,9,0,20000.0,Rendah,1
2140,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-29 10:51:00,5,125000,2025,1,January,29,Wednesday,10,0,25000.0,Rendah,1
2141,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 10:45:00,6,120000,2025,1,January,29,Wednesday,10,0,20000.0,Sedang,1
2142,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 10:40:00,2,60000,2025,1,January,29,Wednesday,10,0,30000.0,Sangat Rendah,1
2143,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-29 09:30:00,4,100000,2025,1,January,29,Wednesday,9,0,25000.0,Rendah,1
2144,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-29 09:30:00,6,150000,2025,1,January,29,Wednesday,9,0,25000.0,Sedang,1
2145,TIKET PELAJAR & MAHASISWA,Pelajar,2025-01-29 09:19:00,25,250000,2025,1,January,29,Wednesday,9,0,10000.0,Tinggi,1
2146,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-29 08:59:00,4,120000,2025,1,January,29,Wednesday,8,0,30000.0,Rendah,1
2147,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 08:14:00,3,60000,2025,1,January,29,Wednesday,8,0,20000.0,Rendah,1
2148,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-29 08:12:00,6,120000,2025,1,January,29,Wednesday,8,0,20000.0,Sedang,1
2149,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 16:35:00,6,120000,2025,1,January,28,Tuesday,16,0,20000.0,Sedang,1
2150,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 16:29:00,3,60000,2025,1,January,28,Tuesday,16,0,20000.0,Rendah,1
2151,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 16:18:00,2,40000,2025,1,January,28,Tuesday,16,0,20000.0,Sangat Rendah,1
2152,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 16:17:00,5,125000,2025,1,January,28,Tuesday,16,0,25000.0,Rendah,1
2153,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 16:13:00,4,80000,2025,1,January,28,Tuesday,16,0,20000.0,Rendah,1
2154,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 15:59:00,17,340000,2025,1,January,28,Tuesday,15,0,20000.0,Tinggi,1
2155,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 15:49:00,1,25000,2025,1,January,28,Tuesday,15,0,25000.0,Sangat Rendah,1
2156,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 15:25:00,10,200000,2025,1,January,28,Tuesday,15,0,20000.0,Sedang,1
2157,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 15:09:00,9,180000,2025,1,January,28,Tuesday,15,0,20000.0,Sedang,1
2158,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 14:55:00,3,90000,2025,1,January,28,Tuesday,14,0,30000.0,Rendah,1
2159,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 14:55:00,3,60000,2025,1,January,28,Tuesday,14,0,20000.0,Rendah,1
2160,TIKET WISATAWAN UMUM,Umum,2025-01-28 14:55:00,10,150000,2025,1,January,28,Tuesday,14,0,15000.0,Sedang,1
2161,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 14:48:00,2,50000,2025,1,January,28,Tuesday,14,0,25000.0,Sangat Rendah,1
2162,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 14:48:00,7,140000,2025,1,January,28,Tuesday,14,0,20000.0,Sedang,1
2163,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 14:48:00,8,240000,2025,1,January,28,Tuesday,14,0,30000.0,Sedang,1
2164,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 14:41:00,4,100000,2025,1,January,28,Tuesday,14,0,25000.0,Rendah,1
2165,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 14:38:00,2,50000,2025,1,January,28,Tuesday,14,0,25000.0,Sangat Rendah,1
2166,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 14:34:00,3,90000,2025,1,January,28,Tuesday,14,0,30000.0,Rendah,1
2167,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 14:27:00,3,75000,2025,1,January,28,Tuesday,14,0,25000.0,Rendah,1
2168,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 14:27:00,4,120000,2025,1,January,28,Tuesday,14,0,30000.0,Rendah,1
2169,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 14:21:00,6,120000,2025,1,January,28,Tuesday,14,0,20000.0,Sedang,1
2170,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 14:21:00,3,90000,2025,1,January,28,Tuesday,14,0,30000.0,Rendah,1
2171,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 14:17:00,10,250000,2025,1,January,28,Tuesday,14,0,25000.0,Sedang,1
2172,TIKET WISATAWAN UMUM,Umum,2025-01-28 14:10:00,2,30000,2025,1,January,28,Tuesday,14,0,15000.0,Sangat Rendah,1
2173,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 14:10:00,4,100000,2025,1,January,28,Tuesday,14,0,25000.0,Rendah,1
2174,TIKET PELAJAR & MAHASISWA,Pelajar,2025-01-28 14:10:00,1,10000,2025,1,January,28,Tuesday,14,0,10000.0,Sangat Rendah,1
2175,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 15:08:00,3,90000,2025,1,January,28,Tuesday,15,0,30000.0,Rendah,1
2176,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 14:08:00,5,125000,2025,1,January,28,Tuesday,14,0,25000.0,Rendah,1
2177,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 14:08:00,5,150000,2025,1,January,28,Tuesday,14,0,30000.0,Rendah,1
2178,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 14:01:00,3,60000,2025,1,January,28,Tuesday,14,0,20000.0,Rendah,1
2179,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 13:57:00,1,25000,2025,1,January,28,Tuesday,13,0,25000.0,Sangat Rendah,1
2180,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 13:56:00,3,75000,2025,1,January,28,Tuesday,13,0,25000.0,Rendah,1
2181,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 13:52:00,2,60000,2025,1,January,28,Tuesday,13,0,30000.0,Sangat Rendah,1
2182,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 13:52:00,4,100000,2025,1,January,28,Tuesday,13,0,25000.0,Rendah,1
2183,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 13:43:00,9,180000,2025,1,January,28,Tuesday,13,0,20000.0,Sedang,1
2184,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 13:43:00,6,150000,2025,1,January,28,Tuesday,13,0,25000.0,Sedang,1
2185,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 13:39:00,2,60000,2025,1,January,28,Tuesday,13,0,30000.0,Sangat Rendah,1
2186,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 13:38:00,2,60000,2025,1,January,28,Tuesday,13,0,30000.0,Sangat Rendah,1
2187,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 13:34:00,5,150000,2025,1,January,28,Tuesday,13,0,30000.0,Rendah,1
2188,TIKET WISATAWAN UMUM,Umum,2025-01-28 13:32:00,4,60000,2025,1,January,28,Tuesday,13,0,15000.0,Rendah,1
2189,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 13:32:00,4,120000,2025,1,January,28,Tuesday,13,0,30000.0,Rendah,1
2190,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 13:24:00,4,120000,2025,1,January,28,Tuesday,13,0,30000.0,Rendah,1
2191,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 13:22:00,4,80000,2025,1,January,28,Tuesday,13,0,20000.0,Rendah,1
2192,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 13:20:00,5,100000,2025,1,January,28,Tuesday,13,0,20000.0,Rendah,1
2193,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 14:19:00,4,80000,2025,1,January,28,Tuesday,14,0,20000.0,Rendah,1
2194,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 13:18:00,4,120000,2025,1,January,28,Tuesday,13,0,30000.0,Rendah,1
2195,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 13:17:00,4,80000,2025,1,January,28,Tuesday,13,0,20000.0,Rendah,1
2196,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 13:13:00,4,120000,2025,1,January,28,Tuesday,13,0,30000.0,Rendah,1
2197,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 12:57:00,5,125000,2025,1,January,28,Tuesday,12,0,25000.0,Rendah,1
2198,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 12:54:00,4,80000,2025,1,January,28,Tuesday,12,0,20000.0,Rendah,1
2199,TIKET WISATAWAN UMUM,Umum,2025-01-28 12:53:00,4,60000,2025,1,January,28,Tuesday,12,0,15000.0,Rendah,1
2200,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 12:53:00,2,60000,2025,1,January,28,Tuesday,12,0,30000.0,Sangat Rendah,1
2201,TIKET PELAJAR & MAHASISWA,Pelajar,2025-01-28 12:53:00,2,20000,2025,1,January,28,Tuesday,12,0,10000.0,Sangat Rendah,1
2202,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 12:53:00,8,160000,2025,1,January,28,Tuesday,12,0,20000.0,Sedang,1
2203,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 12:45:00,5,125000,2025,1,January,28,Tuesday,12,0,25000.0,Rendah,1
2204,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 12:43:00,2,40000,2025,1,January,28,Tuesday,12,0,20000.0,Sangat Rendah,1
2205,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 12:43:00,9,270000,2025,1,January,28,Tuesday,12,0,30000.0,Sedang,1
2206,TIKET WISATAWAN UMUM,Umum,2025-01-28 12:38:00,3,45000,2025,1,January,28,Tuesday,12,0,15000.0,Rendah,1
2207,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 12:38:00,2,50000,2025,1,January,28,Tuesday,12,0,25000.0,Sangat Rendah,1
2208,TIKET PELAJAR & MAHASISWA,Pelajar,2025-01-28 12:38:00,2,20000,2025,1,January,28,Tuesday,12,0,10000.0,Sangat Rendah,1
2209,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 12:38:00,2,40000,2025,1,January,28,Tuesday,12,0,20000.0,Sangat Rendah,1
2210,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 12:28:00,3,75000,2025,1,January,28,Tuesday,12,0,25000.0,Rendah,1
2211,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 12:28:00,10,250000,2025,1,January,28,Tuesday,12,0,25000.0,Sedang,1
2212,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 12:23:00,2,60000,2025,1,January,28,Tuesday,12,0,30000.0,Sangat Rendah,1
2213,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 12:22:00,3,75000,2025,1,January,28,Tuesday,12,0,25000.0,Rendah,1
2214,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 12:21:00,12,360000,2025,1,January,28,Tuesday,12,0,30000.0,Tinggi,1
2215,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 12:20:00,3,90000,2025,1,January,28,Tuesday,12,0,30000.0,Rendah,1
2216,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 12:19:00,4,120000,2025,1,January,28,Tuesday,12,0,30000.0,Rendah,1
2217,TIKET WISATAWAN UMUM,Umum,2025-01-28 12:19:00,7,105000,2025,1,January,28,Tuesday,12,0,15000.0,Sedang,1
2218,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 12:19:00,4,80000,2025,1,January,28,Tuesday,12,0,20000.0,Rendah,1
2219,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 12:11:00,3,60000,2025,1,January,28,Tuesday,12,0,20000.0,Rendah,1
2220,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 12:09:00,8,240000,2025,1,January,28,Tuesday,12,0,30000.0,Sedang,1
2221,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 12:04:00,4,100000,2025,1,January,28,Tuesday,12,0,25000.0,Rendah,1
2222,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 12:00:00,5,100000,2025,1,January,28,Tuesday,12,0,20000.0,Rendah,1
2223,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 12:00:00,6,150000,2025,1,January,28,Tuesday,12,0,25000.0,Sedang,1
2224,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 11:51:00,4,120000,2025,1,January,28,Tuesday,11,0,30000.0,Rendah,1
2225,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 11:49:00,8,200000,2025,1,January,28,Tuesday,11,0,25000.0,Sedang,1
2226,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 11:44:00,2,50000,2025,1,January,28,Tuesday,11,0,25000.0,Sangat Rendah,1
2227,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 11:41:00,3,75000,2025,1,January,28,Tuesday,11,0,25000.0,Rendah,1
2228,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 11:36:00,2,60000,2025,1,January,28,Tuesday,11,0,30000.0,Sangat Rendah,1
2229,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 11:34:00,2,50000,2025,1,January,28,Tuesday,11,0,25000.0,Sangat Rendah,1
2230,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 11:34:00,4,80000,2025,1,January,28,Tuesday,11,0,20000.0,Rendah,1
2231,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 11:29:00,3,90000,2025,1,January,28,Tuesday,11,0,30000.0,Rendah,1
2232,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 11:27:00,8,240000,2025,1,January,28,Tuesday,11,0,30000.0,Sedang,1
2233,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-01-28 11:27:00,6,120000,2025,1,January,28,Tuesday,11,0,20000.0,Sedang,1
2234,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 11:21:00,2,50000,2025,1,January,28,Tuesday,11,0,25000.0,Sangat Rendah,1
2235,TERUSAN III ( Free-Pass III ),TERUSAN,2025-01-28 11:21:00,4,100000,2025,1,January,28,Tuesday,11,0,25000.0,Rendah,1
2236,TERUSAN IV ( Free-pass IV ),TERUSAN,2025-01-28 11:21:00,5,150000,2025,1,January,28,Tuesday,11,0,30000.0,Rendah,1
2237,TIKET WISATAWAN UMUM,Umum,2025-01-28 11:21:00,2,30000,2025,1,January,28,Tuesday,11,0,15000.0,Sangat Rendah,1
2238,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-01-28 11:21:00,4,100000,2025,1,January,28,Tuesday,11,0,25000.0,Rendah,1
2239,TIKET MASUK DALEM AGUNG PAKUNGWATI,Umum,2025-01-28 11:16:00,2,20000,2025,1,January,28,Tuesday,11,0,10000.0,Sangat Rendah,1
